Country names,Region,Image URL,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,Americas,https://public.flourish.studio/country-flags/svg/aw.svg,619,641,650,647,683,721,691,643,642,728,733,694,772,827,813,824,869,904,979,"10,72,000","12,25,000","11,02,000","10,70,500"
Afghanistan,Asia,https://public.flourish.studio/country-flags/svg/af.svg,,,,,,,,,,,,,,,,,,,,,,,
Angola,Africa,https://public.flourish.studio/country-flags/svg/ao.svg,9,21,45,52,45,51,67,91,107,194,210,121,195,294,366,425,481,528,650,595,592,397,261
Albania,Europe,https://public.flourish.studio/country-flags/svg/al.svg,304,287,119,184,371,317,354,470,557,645,748,937,"10,62,000","12,47,000","17,11,000","21,91,000","24,69,000","31,56,000","28,57,000","33,41,000","37,84,000","40,70,000","46,43,000"
Andorra,Europe,https://public.flourish.studio/country-flags/svg/ad.svg,,,,,"23,47,000","29,49,000","35,16,000","33,87,000","31,38,000","27,91,000","24,18,000","22,27,000","21,89,000","20,59,000","18,30,000","18,08,000","22,42,000","22,38,000","23,28,000","23,63,000","26,63,000","28,31,000",
UAE,Asia,https://public.flourish.studio/country-flags/svg/ae.svg,"23,15,000","25,72,000","24,76,000","29,91,000","33,93,000","39,07,000","41,34,000","54,45,000","58,71,000","61,95,000","71,26,000",,,,,,,,,,,,
Argentina,Americas,https://public.flourish.studio/country-flags/svg/ar.svg,"22,89,000","26,14,000","27,64,000","30,12,000","28,98,000","29,09,000","26,20,000","28,20,000","29,95,000","34,57,000","38,23,000","41,73,000","45,62,000","47,00,000","43,08,000","53,25,000","57,05,000","55,87,000","52,46,000","59,31,000","57,36,000","66,55,000","67,20,000"
Armenia,Asia,https://public.flourish.studio/country-flags/svg/am.svg,12,13,23,32,41,45,123,162,206,263,319,382,511,558,575,684,758,963,"10,84,000","12,04,000","11,92,000","12,60,000","14,95,000"
American Samoa,Oceania,https://public.flourish.studio/country-flags/svg/as.svg,34,35,26,36,41,44,36,,,,"24,5","25,3","24,1","24,3","23,5","23,1","22,6","22,6","20,8","21,6","20,3","20,1",20
Antigua and Barbuda,Americas,https://public.flourish.studio/country-flags/svg/ag.svg,220,228,240,234,232,207,215,218,239,246,245,254,262,266,234,230,241,247,243,249,250,265,247
