Country Name,region,Image URL,1930,1934,1938,1950,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60
Argentina,Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/23px-Flag_of_Argentina.svg.png,18.0,20.0,20.0,20.0,20.0,25.0,27.0,31.0,31.0,40.0,55.0,63.0,77.0,82.0,90.0,100.0,102.0,113.0,123.0,131.0,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/23px-Flag_of_Chile.svg.png,5.0,5.0,5.0,10.0,10.0,10.0,20.0,22.0,22.0,23.0,23.0,26.0,26.0,26.0,26.0,31.0,31.0,31.0,34.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931958%29.svg/23px-Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931958%29.svg.png,4.0,6.0,10.0,10.0,13.0,36.0,36.0,38.0,38.0,38.0,43.0,59.0,71.0,71.0,71.0,86.0,86.0,96.0,96.0,106.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Flag_of_the_United_Mexican_States_%281916-1934%29.svg/23px-Flag_of_the_United_Mexican_States_%281916-1934%29.svg.png,4.0,4.0,4.0,6.0,8.0,9.0,12.0,13.0,19.0,19.0,21.0,21.0,27.0,27.0,31.0,39.0,43.0,48.0,52.0,57.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Flag_of_Yugoslavia_%281918%E2%80%931941%29.svg/23px-Flag_of_Yugoslavia_%281918%E2%80%931941%29.svg.png,7.0,7.0,7.0,14.0,16.0,23.0,33.0,33.0,33.0,45.0,45.0,47.0,47.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Brazil_%281889%E2%80%931960%29.svg/22px-Flag_of_Brazil_%281889%E2%80%931960%29.svg.png,5.0,6.0,20.0,42.0,50.0,66.0,80.0,84.0,103.0,109.0,119.0,134.0,144.0,148.0,159.0,173.0,191.0,201.0,210.0,221.0,229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Flag_of_Bolivia_%28state%29.svg/22px-Flag_of_Bolivia_%28state%29.svg.png,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Uruguay.svg/23px-Flag_of_Uruguay.svg.png,15.0,15.0,15.0,30.0,46.0,46.0,50.0,52.0,56.0,57.0,57.0,57.0,59.0,61.0,61.0,61.0,65.0,65.0,76.0,80.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/23px-Flag_of_Romania.svg.png,3.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,12.0,12.0,12.0,12.0,12.0,16.0,26.0,30.0,30.0,30.0,30.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Flag_of_Peru_%281825-1950%29.svg/23px-Flag_of_Peru_%281825-1950%29.svg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Flag_of_the_United_States_%281912-1959%29.svg/23px-Flag_of_the_United_States_%281912-1959%29.svg.png,7.0,8.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,14.0,17.0,18.0,25.0,27.0,32.0,37.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Flag_of_Paraguay_%281842-1954%29.svg/23px-Flag_of_Paraguay_%281842-1954%29.svg.png,1.0,1.0,1.0,3.0,3.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,16.0,16.0,16.0,19.0,25.0,27.0,30.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/23px-Flag_of_Belgium_%28civil%29.svg.png,0.0,2.0,3.0,3.0,8.0,8.0,8.0,8.0,12.0,12.0,12.0,15.0,27.0,33.0,37.0,40.0,46.0,46.0,46.0,52.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Europe,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/125px-Flag_of_Italy.svg.png,,12.0,23.0,27.0,33.0,33.0,36.0,38.0,48.0,53.0,62.0,74.0,79.0,89.0,97.0,105.0,110.0,122.0,126.0,128.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Europe,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/125px-Flag_of_Spain.svg.png,,4.0,4.0,14.0,14.0,14.0,16.0,20.0,20.0,20.0,22.0,26.0,37.0,43.0,53.0,61.0,71.0,80.0,88.0,92.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/23px-Flag_of_Austria.svg.png,,7.0,7.0,7.0,24.0,26.0,26.0,26.0,26.0,26.0,33.0,38.0,38.0,40.0,40.0,43.0,43.0,43.0,43.0,43.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Flag_of_Hungary_%281915-1918%2C_1919-1946%29.svg/23px-Flag_of_Hungary_%281915-1918%2C_1919-1946%29.svg.png,,5.0,20.0,20.0,47.0,54.0,62.0,70.0,70.0,70.0,73.0,85.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
