Country Name,region,Image URL,1996,1996.1,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020.1
AOL,1,https://cdn.iconscout.com/icon/free/png-256/aol-1-282736.png,90432000.0,90432000.0,152510000.0,293998843.0,501100000.0,771400000.0,803600000.0,1029100000.0,1226500000.0,2026300000.0,2013900000.0,2014100000.0,1617500000.0,1632700000.0,1503200000.0,1384500000.0,1583600000.0,1722800000.0,1716300000.0,1016300000.0,0.0,,,,,,
Yahoo,2,https://cdn.iconscout.com/icon/free/png-256/yahoo-49-789855.png,34731000.0,34731000.0,64676000.0,122045849.0,168400000.0,227800000.0,627500000.0,1651500000.0,3520900000.0,5164000000.0,6535600000.0,5770700000.0,5124800000.0,6525000000.0,9511200000.0,11653800000.0,11585900000.0,10372100000.0,9097800000.0,7385400000.0,6336100000.0,5573500000.0,4855900000.0,4285100000.0,3406000000.0,3006000000.0,3006000000.0
MSN,3,https://www.logolynx.com/images/logolynx/f8/f881c400b07a00dcbb192271a41311c6.jpeg,13847000.0,13847000.0,33229000.0,71697663.0,181300000.0,321800000.0,406700000.0,602700000.0,1288700000.0,1775000000.0,1944200000.0,1484900000.0,1261400000.0,1261300000.0,1282700000.0,1243000000.0,1108600000.0,908600000.0,0.0,,,,,,,,
Excite,4,"https://res-5.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_256,w_256,f_auto,q_auto:eco/v1495177762/jrw8dzx5f1w85rbi2iqx.png",9691000.0,9691000.0,20641000.0,46741847.0,55100000.0,58600000.0,60900000.0,50900000.0,30900000.0,0.0,,,,,,,,,,,,,,,,,
Geocities,5,https://i.kym-cdn.com/photos/images/newsfeed/000/552/271/22d.jpg,18688000.0,18688000.0,26662000.0,44096892.0,1000000.0,0.0,,,,,,,,,,,,,,,,,,,,,
Lycos,6,"https://user-images.strikinglycdn.com/res/hrscywv4p/image/upload/c_fill,f_auto,g_faces:center,h_128,q_80,w_128/225507/http_www_logotypes101_com_logos_140_3B0D2CDBABE7778D2F5E7FD8360A4887_Lycos_bhh8er.png",7413000.0,7413000.0,22161000.0,41945852.0,86400000.0,103500000.0,135600000.0,140800000.0,100800000.0,50800000.0,0.0,,,,,,,,,,,,,,,,
Netscape,7,https://upload.wikimedia.org/wikipedia/en/4/48/Netscape9logo.png,17034000.0,17034000.0,17176000.0,17718536.0,1000000.0,0.0,,,,,,,,,,,,,,,,,,,,,
Infoseek,8,"https://res-1.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_120,w_120,f_auto,b_white,q_auto:eco/v1424213908/txyd8h6r2etfzs2lz5dn.png",7779000.0,7779000.0,9147000.0,10879954.0,1000000.0,0.0,,,,,,,,,,,,,,,,,,,,,
Am. Greetings,9,https://bloximages.newyork1.vip.townnews.com/wdrb.com/content/tncms/assets/v3/editorial/9/53/95378336-3280-5316-a615-ab22dc8fd751/5c05b2cfe0e41.image.jpg?resize=400%2C222,,,,8000000.0,34000000.0,1000000.0,0.0,,,,,,,,,,,,,,,,,,,,
ZDnet,10,"https://res-4.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_256,w_256,f_auto,q_auto:eco/v1492753967/szbodcsafoskuy4pkrt2.png",,,4012000.0,7587438.0,1000000.0,0.0,,,,,,,,,,,,,,,,,,,,,
Amazon,1,https://www.creatingawebsitetoday.com/wp-content/uploads/2014/07/Amazon-Website-Builder.png,,,,,51408037.0,71800000.0,105300000.0,206500000.0,413500000.0,584000000.0,692700000.0,694800000.0,740500000.0,881000000.0,1129600000.0,1440500000.0,1649300000.0,1767400000.0,1825300000.0,1964500000.0,2175500000.0,0.0,,,,,
Infospace,2,https://res.cloudinary.com/aamong/image/upload/v1518002315/1infospace-logo_jdygfn.jpg,,,,,32716658.0,47400000.0,17400000.0,0.0,,,,,,,,,,,,,,,,,,,
Go.com,3,https://www.gmkfreelogos.com/logos/G/img/Go_com.gif,,,,,29070009.0,,61400000.0,31400000.0,11400000.0,0.0,,,,,,,,,,,,,,,,,
Real.com,4,https://www.gmkfreelogos.com/logos/R/img/Real_com-1.gif,,,,,23421767.0,1000000.0,0.0,,,,,,,,,,,,,,,,,,,,
About.com,5,https://www.arcintegrated.com/wp-content/uploads/2017/06/about.png,,,,,,95513134.0,115900000.0,140200000.0,170800000.0,223200000.0,113200000.0,93200000.0,0.0,,,,,,,,,,,,,,
Ebay,6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRBSzKKllBeXFWPoxxdeoeBl94zFwh575WFPaI2a0CHI1f93fSCg&s,,,,,,84451262.0,165500000.0,294800000.0,533200000.0,751900000.0,896300000.0,954800000.0,959400000.0,921800000.0,721800000.0,0.0,,,,,,,,,,,
CNET,7,"https://res-4.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_256,w_256,f_auto,q_auto:eco/v1488570589/cauf2hzuag3akduqzixm.png",,,,,,50449266.0,67900000.0,116400000.0,196600000.0,244700000.0,104700000.0,0.0,,,,,,,,,,,,,,,
Google,8,https://freeiconshop.com/wp-content/uploads/edd/google-flat.png,,,,,,,,347395305.0,661800000.0,1018700000.0,1854900000.0,4312500000.0,7297700000.0,7984300000.0,8814100000.0,9805200000.0,13442700000.0,16004200000.0,18603100000.0,21537300000.0,25382200000.0,33484400000.0,48272300000.0,62721000000.0,77061000000.0,81061000000.0,81061000000.0
Ask.com,9,"https://res-2.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_256,w_256,f_auto,q_auto:eco/v1397749405/20007f160820a7665e763a195d803a50.gif",,,,,,,,183472259.0,355900000.0,484700000.0,555200000.0,627400000.0,813300000.0,1098000000.0,1184700000.0,1230300000.0,630300000.0,0.0,,,,,,,,,
Walmart,10,https://rm-core-production.s3.amazonaws.com/logos/1391/large_wal-mart_logo.jpg,,,,,,,,,255484276.0,392300000.0,442300000.0,429300000.0,229300000.0,129300000.0,0.0,,,,,,,,,,,,
Wikipedia,1,https://cdn.iconscout.com/icon/free/png-256/wikipedia-283043.png,,,,,,,,,,,340337102.0,511900000.0,634000000.0,,858100000.0,977600000.0,1131300000.0,1559200000.0,2204400000.0,2914800000.0,3581300000.0,4236700000.0,4944800000.0,5434200000.0,5224000000.0,5024000000.0,5024000000.0
Myspace,2,https://live.staticflickr.com/4044/4684606236_fc572b392e.jpg,,,,,,,,,,,329075758.0,1033800000.0,1278200000.0,1115600000.0,715600000.0,0.0,,,,,,,,,,,
YouTube,3,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Youtube_icon.svg/256px-Youtube_icon.svg.png,,,,,,,,,,,,,671692004.0,1127400000.0,1817800000.0,3508500000.0,6016200000.0,9340000000.0,12938900000.0,17175300000.0,21110900000.0,24575700000.0,26254300000.0,27480500000.0,27732000000.0,28032000000.0,28032000000.0
