Person,Image Url,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bill Gates,https://i.imgur.com/yK7xnt3.png,60 000 000 000,58 714 448 711,52 812 948 363,40 715 966 325,46 534 448 166,46 597 541 387,50 698 399 715,56 832 648 916,58 194 325 816,40 641 358 112,53 311 764 886,56 117 921 369,61 733 623 845,67 368 956 445,76 323 657 992,79 200 000 000,75 000 000 000,86 000 000 000,90 000 000 000,102 103 654 887
Lawrence Ellison,https://i.imgur.com/O66yMYt.png?1,47 000 000 000,26 487 129 355,23 500 000 000,16 660 000 000,18 700 000 000,18 400 000 000,16 000 000 000,21 500 000 000,25 000 000 000,22 500 000 000,28 000 000 000,39 500 000 000,36 000 000 000,43 000 552 000,48 000 582 661,54 300 000 000,43 600 000 000,52 200 000 000,58 500 000 000,64 900 145 523
Paul Allen,https://i.imgur.com/2Ywp27Z.png?1,28 000 000 000,30 411 289 439,25 200 000 000,20 100 000 000,21 000 256 000,21 000 000 000,22 065 010 182,18 009 000 548,16 000 475 410,10 500 785 451,13 500 000 556,13 000 496 365,14 200 661 961,15 000 651 225,15 900 322 000,,,,,
Warren Buffett,https://i.imgur.com/DyZ5bN3.png,25 600 000 000,32 361 297 551,35 689 144 842,30 533 498 211,42 936 423 128,44 325 489 333,42 715 966 189,52 716 369 691,62 937 612 286,37 936 186 255,47 266 439 215,50 934 822 465,44 238 681 963,53 997 334 579,58 264 967 900,72 700 000 000,60 800 000 000,75 600 000 000,84 000 000 000,84 806 964 522
Karl Albrecht,https://i.imgur.com/6hbCgie.png?1,20 000 000 000,25 917 361 882,26 815 200 000,25 617 000 912,23 426 789 200,18 511 682 650,17 000 589 143,20 000 451 265,27 427 365 221,21 506 811 630,23 521 110 632,25 566 219 001,25 400 364 112,26 001 358 415,25 003 478 009,,,,,
Al-Waleed bin Talal,https://i.imgur.com/2m8lvD7.png?1,20 000 000 000,20 092 935 799,20 000 562 000,17 700 000 000,21 500 000 000,23 700 000 000,20 000 000 000,20 300 000 426,21 000 852 000,16 000 236 000,19 400 456 132,,,,,,,,,
Robson Walton,https://i.imgur.com/8te17bQ.png,20 000 000 000,18 627 996 344,20 500 000 000,16 500 000 000,20 000 000 000,18 300 000 000,15 800 000 000,,,17 600 000 000,19 800 000 000,,23 100 000 000,26 100 000 000,34 200 000 000,39 100 000 000,36 100 000 000,34 100 000 000,46 200 000 000,49 236 667 189
Masayoshi Son,https://i.imgur.com/s3HQ0lJ.png,19 400 000 000,,,,,,,,,,,,,,,,,,,
Michael Dell,https://i.imgur.com/jEOeyUF.png,19 100 000 000,,11 100 000 000,,13 000 000 000,16 000 000 000,17 100 000 000,,,,,,,,,,,,,
Kenneth Thomson,https://i.imgur.com/jJo1b6A.png,16 100 000 000,16 400 359 124,14 900 000 000,14 000 000 000,17 200 000 000,17 900 000 000,19 600 000 000,22 000 000 000,,,,,,,,,,,,
Philip Anschutz,https://i.imgur.com/QnhUsar.png,15 500 000 000,15 300 215 455,,,,,,,,,,,,,,,,,,
Steve Ballmer,https://i.imgur.com/TXzZv9o.png,15 500 000 000,16 610 333 489,14 800 000 000,11 100 000 000,12 400 000 000,,,,,,,,,,,,,,,49 124 177 982
Liliane Bettencourt,https://i.imgur.com/IwbVSj3.png,15 200 000 000,15 631 621 955,14 900 526 000,15 500 000 000,18 800 000 000,17 200 000 000,16 000 000 000,20 700 000 000,22 900 000 000,,,23 500 000 000,24 000 000 000,30 000 000 000,34 500 000 000,40 100 000 000,36 100 000 000,39 500 000 000,42 200 000 000,54 921 477 365
Silvio Berlusconi,https://i.imgur.com/mrAeyng.png,12 800 000 000,,,,,,,,,,,,,,,,,,,
Johanna Quandt,https://i.imgur.com/rx1JIW0.png,12 800 000 000,17 823 336 930,18 400 000 000,,,,,,,,,,,,,,,,,
Bernard Arnault,https://i.imgur.com/1P9fP9h.png?1,12 600 000 000,,,,,17 000 000 000,21 500 000 000,26 000 000 000,25 500 000 000,16 500 000 000,27 500 000 000,41 000 000 000,41 000 000 000,29 000 000 000,33 500 000 000,37 200 000 000,34 000 000 000,41 500 000 000,72 000 000 000,
Sumner Redstone,https://i.imgur.com/83Fo7EU.png,12 100 000 000,12 600 321 852,,,,,,,,,,,,,,,,,,
John Kluge,https://i.imgur.com/Y6myTpP.png,11 900 000 000,,10 500 000 000,10 500 000 000,,,,,,,,,,,,,,,,
Leo Kirch,https://i.imgur.com/SpnpOhv.png,11 500 000 000,12 000 421 000,,,,,,,,,,,,,,,,,,
Li Ka-shing,https://i.imgur.com/UwqwRZF.png,11 300 000 000,12 600 782 426,,,12 400 000 000,,18 800 000 000,23 000 000 000,26 500 000 000,16 200 000 000,21 000 000 000,26 000 000 000,25 500 000 000,31 000 000 000,31 000 000 000,33 300 000 000,,31 200 000 000,,
Jim Walton,https://i.imgur.com/SDl7XNM.png,,18 836 841 812,20 800 000,16 500 000 000,20 000 000 000,18 200 000 000,15 900 000 000,,,17 800 000 000,20 700 000 000,21 300 000 000,23 700 000 000,26 700 000 000,34 700 000 000,40 600 000 000,33 600 000 000,34 000 000 000,46 400 000 000,50 366 128 933
John Thomas,https://i.imgur.com/ToVe1sb.png?1,,18 727 825 344,20 700 000 000,16 500 000 000,20 000 000 000,18 200 000 000,,,,,,,,,,,,,,
Alice Walton,https://i.imgur.com/2Xfhr5v.png,,18 523 000 000,20 500 000 000,16 500 000 000,20 000 000 000,18 000 000 000,15 700 000 000,,,17 600 000 000,20 600 000 000,,23 300 000 000,26 300 000 000,34 300 000 000,39 400 000 000,30 300 000 000,33 800 000 000,46 000 000 000,49 405 588 129
Kamprad Ingvar,https://i.imgur.com/6IsUUbi.png,,13 000 642 000,13 400 000 000,13 000 000 000,18 500 000 000,23 000 000 000,28 000 000 000,33 000 000 000,31 000 000 000,22 000 000 000,23 000 000 000,,,,,,,,,
Amancio Ortega,https://i.imgur.com/tMudpxI.png,,,,10 300 000 000,,,,24 000 000 000,,18 300 000 000,25 000 000 000,31 000 000 000,37 500 000 000,57 000 000 000,64 000 000 000,64 500 000 000,67 000 000 000,71 300 000 000,70 000 000 000,64 000 654 127
Helen Walton,https://i.imgur.com/2BhJLLn.png,,,20 400 000 000,16 500 000 000,20 000 000 000,18 000 000 000,15 600 000 000,,,,,,,,,,,,,
Carlos Slim,https://i.imgur.com/ZQcVSmc.png,,,11 500 000 000,,13 900 000 000,23 800 000 000,30 000 000 000,49 000 000 000,60 000 000 000,35 000 000 000,53 500 000 000,74 000 000 000,69 000 000 000,73 000 000 000,72 000 000 000,77 100 000 000,50 000 000 000,54 500 000 000,67 100 000 000,60 128 547 992
Kirsten Rausing,https://i.imgur.com/ylm0b0h.png,,,10 700 000 000,,,,,,,,,,,,,,,,,
Birgit Rausing,https://i.imgur.com/if5x1UY.png,,,,12 900 000 000,,,,,,,,,,,,,,,,
Barbara Cox,https://i.imgur.com/LnuMhTv.png?1,,,,10 300 000 000,,,,,,,,,,,,,,,,
Anne Cox,https://i.imgur.com/l5mT1Tw.png,,,,10 300 000 000,,,,,,,,,,,,,,,,
Theo Albrecht,https://i.imgur.com/jW0LPYX.png?1,,,,,18 100 000 000,15 500 000 000,,17 500 000 000,23 000 000 000,18 800 000 000,,,,,,,,,,
Mikhail Khodorkovsky,https://i.imgur.com/caKpEaW.png,,,,,15 000 000 000,,,,,,,,,,,,,,,
Lakshmi Mittal,https://i.imgur.com/3lxg2uN.png,,,,,,25 000 000 000,23 500 000 000,32 000 000 000,45 000 000 000,19 300 000 000,28 700 000 000,31 100 000 000,,,,,,,,
Sheldon Adelson,https://i.imgur.com/GV65goF.png,,,,,,15 600 000 000,16 100 000 000,26 500 000 000,26 000 000 000,,,23 300 000 000,,26 500 000 000,38 000 000 000,31 400 000 000,,30 400 000 000,,
Roman Abramovich,https://i.imgur.com/vgPhLeW.png,,,,,,,18 200 000 000,18 700 000 000,23 500 000 000,,,,,,,,,,,
Mukesh Ambani,https://i.imgur.com/QWRnVKb.png?1,,,,,,,,20 100 000 000,43 000 000 000,19 500 000 000,29 000 000 000,27 000 000 000,22 300 000 000,,,,,,40 100 000 000,52 612 664 778
Stefan Persson,https://i.imgur.com/ccN8Ltf.png?1,,,,,,,,18 400 000 000,,14 500 000 000,22 400 000 000,24 500 000 000,26 000 000 000,28 000 000 000,34 300 000 000,,,,,
Anil Ambani,https://i.imgur.com/tyObn2O.png?1,,,,,,,,18 200 000 000,42 000 000 000,,,,,,,,,,,
Kushal Singh,https://i.imgur.com/38sDFNP.png?1,,,,,,,,,30 000 000 000,,,,,,,,,,,
Oleg Deripaska,https://i.imgur.com/t5argug.png?1,,,,,,,,,28 000 000 000,,,,,,,,,,,
Alexei Mordashov,https://i.imgur.com/YxVC06J.png,,,,,,,,,21 200 000 000,,,,,,,,,,,
Mikhail Fridman,https://i.imgur.com/SLQhfGv.png,,,,,,,,,20 800 000 000,,,,,,,,,,,
Michael Bloomberg,https://i.imgur.com/bAYeTbT.png?1,,,,,,,,,,16 000 000 000,,,22 000 000 000,27 000 000 000,33 000 000 000,35 500 000 000,40 000 000 000,47 500 000 000,50 000 000 000,53 921 654 523
Charles Koch,https://i.imgur.com/3k7eOJH.png,,,,,,,,,,14 000 000 000,,22 000 000 000,25 000 000 000,34 000 000 000,40 000 000 000,42 900 000 000,39 600 000 000,48 300 000 000,60 000 000 000,42 100 842 655
Eike Batista,https://i.imgur.com/r6A51eC.png?1,,,,,,,,,,,27 000 000 000,30 000 000 000,,,,,,,,
David Thomson,https://i.imgur.com/ty14lbh.png,,,,,,,,,,,19 000 000 000,23 000 000 000,,,,,,,,
Vladimir Lisin,https://i.imgur.com/FYGhtIc.png,,,,,,,,,,,,24 00 000 000,,,,,,,,
Jeff Bezos,https://i.imgur.com/FBEfZTM.png?1,,,,,,,,,,,,,,25 200 000 000,32 000 000 000,34 800 000 000,45 200 000 000,72 800 000 000,112 000 000 000,153 720 123 456
Larry Page,https://i.imgur.com/773BKKD.png,,,,,,,,,,,,,,23 000 000 000,32 300 000 000,29 700 000 000,35 200 000 000,40 700 000 000,48 400 000 000,50 398 236 188
Mark Zuckerberg,https://i.imgur.com/c8niiyG.png,,,,,,,,,,,,,,,28 500 000 000,33 400 000 000,44 600 000 000,56 000 000 000,71 000 000 000,67 451 219 967
Sergey Brin,https://i.imgur.com/ohT4688.png,,,,,,,,,,,,,,,,29 200 000 000,34 400 000 000,39 800 000 000,47 500 000 000,49 300 716 966
Wang Jianlin,https://i.imgur.com/TTrjT9I.png,,,,,,,,,,,,,,,,,28 700 000 000,31 300 000 000,,
Jorge Paulo,https://i.imgur.com/R20wfOe.png?1,,,,,,,,,,,,,,,,,27 800 000 000,,,
Ma Huateng,https://i.imgur.com/qWIfcaU.png,,,,,,,,,,,,,,,,,,,45 300 000 000,37 200 458 232
Jack Ma,https://i.imgur.com/xH2wpFB.png?1,,,,,,,,,,,,,,,,,,,39 000 000 000,
